Pitch Number,Multiple Entrepreneurs,Entrepreneur 1 Name,Entrepreneur 2 Name,Gender(s),City,State,Industry
1,False,Tiffany Krumins,,Female,Atlanta,GA,Health/Wellness
2,False,Tod Wilson,,Male,Somerset,NJ,Food and Beverage
3,False,Kevin Flannery,,Male,Cary,NC,Business Services
4,True,Nick Friedman, Omar Soliman,Male,Tampa,FL,Lifestyle/Home
5,False,Darrin Johnson,,Male,St. Paul,MN,Software/Tech
6,False,Susan Knapp,,Female,Napa Valley,CA,Food and Beverage
7,False,Mark Furigay,,Male,Chicago,IL,Children/Education
8,False,Robert Alison,,Male,Las Vegas,NV,Automotive
9,False,Craig French,,Male,Hollywood,CA,Fashion/Beauty
10,False,Mary Ellen Simonson,,Female,Gardena,CA,Lifestyle/Home
11,False,Marian Cruz,,Female,San Francisco,CA,Food and Beverage
12,False,Lori Lite,,Female,Marietta,GA,Children/Education
13,False,Brian Parks,,Male,Eugene,OR,Children/Education
14,False,Ken Bradford,,Male,Dallas,TX,Children/Education
15,True,Jeff ,Josh Cohen,Male,Livermore,CA,Media/Entertainment
16,False,Kwami Kuadey,,Male,Columbia,MD,Software/Tech
17,True,Amy Feldman ,Allison Costa,Female,Los Angeles,CA,Children/Education
18,False,Paul Watts,,Male,Portland,OR,Business Services
19,False,Gina Catroneo,,Female,Dallas,TX,Fashion/Beauty
20,False,Dan Claffey,,Male,Dayton,OH,Food and Beverage
21,True,Rodolfo ,Alexis Saccoman,Male,Miami,FL,Health/Wellness
22,False,Cactus Jack,,Male,Ames,IA,Fitness/Sports/Outdoors
23,False,Rikki Farrar,,Female,Philadelphia,PA,Business Services
24,False,Jeff Cohen,,Male,Los Angeles,CA,Food and Beverage
25,False,Irena Blok,,Female,San Francisco,CA,Health/Wellness
26,True,Heath Hall ,Brett Thompson,Male,Alexandria,VA,Food and Beverage
27,False,Jonathan Miller,,Male,Chicago,IL,Fitness/Sports/Outdoors
28,True,Buck ,Arlene Weimer,Mixed Team,Pueblo,CO,Fashion/Beauty
29,False,Kimberly Cayce,,Female,Charlotte,NC,Fashion/Beauty
30,False,David Chodosh,,Male,Manhattan,CA,Food and Beverage
31,False,Sawyer Sparks,,Male,Bloomfield,IN,Food and Beverage
32,False,Leslie Haywood,,Female,Charleston,SC,Fashion/Beauty
33,True,Dedelle Parra (now Dede Barbanti) ,Kathy Lamm,Female,Ladera Ranch,CA,Fitness/Sports/Outdoors
34,True,Todd Robbins ,David Adamovich,Male,New York,NY,Media/Entertainment
35,False,Lisa Lloyd,,Female,San Jose,CA,Pet Products
36,True,D.J. Stephan ,Sean Conway,Male,San Francisco,CA,Software/Tech
37,False,Edwin Heaven,,Male,San Francisco,CA,Fashion/Beauty
38,False,Danon Beres,,Male,Huntington Beach,CA,Fashion/Beauty
39,False,Gayla Bentley,,Female,Houston,TX,Fashion/Beauty
40,False,Dan Mackey,,Male,Sausalito,CA,Food and Beverage
41,True,Geoffrey Broderick ,Kristina Broderick,Male,Huntington,NY,Pet Products
42,True,Ray Latypov ,Jim Dimascio,Male,Binghampton,NY,Electronics
43,False,Floyd Seskin,,Male,Miami,FL,Fitness/Sports/Outdoors
44,True,Brian Duggan ,Adam McCombs,Male,Chicago,IL,Children/Education
45,False,Jeff Wolsky,,Male,Tampa,FL,Children/Education
46,True,Sandy Hyun ,Roman Pietrs,Mixed Team,New York,NY,Electronics
47,True,Marix Stone ,Nancy Tanchel,Mixed Team,Philadelphia,PA,Fitness/Sports/Outdoors
48,False,Dorene Humason,,Female,Folsom,CA,Food and Beverage
49,False,Andy Sperry,,Male,Franklin,TN,Electronics
50,True,Michael ,Babz Barnett,Mixed Team,Blacksburg,VA,Children/Education
51,True,Alfonzo Dowe, Sr.,Male,Lovejoy,GA,Fitness/Sports/Outdoors
52,True,Tim Stansbury ,Erin Whalen,Mixed Team,Austin,TX,Lifestyle/Home
53,True,Kimberly ,Matthew Foley,Mixed Team,Hawthorne,NJ,Children/Education
54,True,Anthony ,Tina Calvert,Mixed Team,Santee,CA,Lifestyle/Home
55,False,Nate Berkopec,,Male,New York,NY,Fashion/Beauty
56,False,Michael Schiavone,,Male,Mt. Joy,PA,Food and Beverage
57,False,Jill Quilln,,Female,Knoxville,TN,Fashion/Beauty
58,True,Jeff ,Annie Hughes,Mixed Team,Santa Monica,CA,Business Services
59,False,Tim Gavern,,Male,Monrovia,CA,Food and Beverage
60,False,Alan Kaufman,,Male,Boston,MA,Fashion/Beauty
61,False,Mark Burginger,,Male,Orlando,FL,Children/Education
62,True,Michele Kapustka ,Melisa Moroko,Female,Chicago,IL,Children/Education
63,False,Nicole Jones,,Female,Chicago,IL,Fashion/Beauty
64,True,Aida ,Phil Lough,Mixed Team,La Habra,CA,Green/CleanTech
65,False,Jonathan Boos,,Male,Sarasota,FL,Fashion/Beauty
66,True,Megan Reilly ,Sarah Nuse,Female,Corpus Christi,TX,Fitness/Sports/Outdoors
67,False,Shawn Davis,,Male,Nashville,TN,Food and Beverage
68,False,James Martin,,Male,The Dalles,OR,Food and Beverage
69,False,Nikki Pope,,Female,Los Angeles,CA,Children/Education
70,False,Joe Moore,,Male,New Port Richey,FL,Health/Wellness
71,False,Brian Spencer,,Male,Mission Viejo,CA,Fitness/Sports/Outdoors
72,False,Matty Sallin,,Male,San Francisco,CA,Food and Beverage
73,False,Kiersten Hathcock,,Female,Flagstaff,AZ,Lifestyle/Home
74,True,Jake, Lachland,Mixed Team,Myrtle Beach,NC,Fashion/Beauty
75,False,Stacy Erwin,,Male,Overland Park,KS,Fitness/Sports/Outdoors
76,False,James Mitchell,,Male,Kent,WA,Lifestyle/Home
77,False,Johnny Gennaro & Vinny Pastore,,Male,New York,NY,Food and Beverage
78,False,Mike Abbaticchio & Shon Lees,,Male,Parkland,FL,Fashion/Beauty
79,True,Darryl ,Randy Lenz,Mixed Team,Peachtree City,GA,Travel
80,False,Ken Howell,,Male,Hope Mills,NC,Food and Beverage
81,True,George Podd ,Rolf Schwartz,Male,Chicago,IL,Automotive
82,False,Jan Augenstein,,Female,Dayton,OH,Lifestyle/Home
83,False,Bob Kroupa,,Male,Chicago,IL,Fashion/Beauty
84,False,April Morris,,Female,Indianapolis,IN,Fashion/Beauty
85,False,Shane Pannell,,Male,Scottsdale,AZ,Lifestyle/Home
86,False,Kim Nelson,,Female,Greenville,SC,Food and Beverage
87,False,Deidrea Haysel,,Female,Townsend,MD,Fashion/Beauty
88,True,Melissa ,Ben Fossey,Mixed Team,Minnetonka,MN,Fitness/Sports/Outdoors
89,False,Chris Spencer,,Male,Houston,TX,Fitness/Sports/Outdoors
90,False,Les Cookson,,Male,Sacramento,CA,Children/Education
91,False,Andy Humphrey,,Male,Traverse City,MD,Green/CleanTech
92,True,Stuart ,David Pikoff,Male,Austin,TX,Media/Entertainment
93,False,Jeff Stroope,,Male,Ashdown,AR,Uncertain/Other
94,True,Jason Lucash ,Michael Szymczak,Male,Costa Mesa,CA,Electronics
95,False,Johnson Bailey,,Male,Broken Arrow,OK,Lifestyle/Home
